strain	genbank_accession	date	country	location	length	host	bioproject_accession	biosample_accession	sra_accession	authors	publications	Nextstrain_lineage
genome_assembly__complete_genome__monopartite|OZ235118.1|2023-09-15	OZ235118.1	2023-09-15	Central African Republic	Bangui; Bimbo	190429	Homo sapiens	PRJEB86106	SAMEA117750672	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235119.1|2023-08-27	OZ235119.1	2023-08-27	Central African Republic	Lobaye; Mbaiki	190405	Homo sapiens	PRJEB86106	SAMEA117750673	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235120.1|2024-01-14	OZ235120.1	2024-01-14	Central African Republic	Ouaka; Bambari	190428	Homo sapiens	PRJEB86106	SAMEA117750675	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235121.1|2024-01-27	OZ235121.1	2024-01-27	Central African Republic	Ouaka; Bambari	190460	Homo sapiens	PRJEB86106	SAMEA117750676	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235122.1|2024-06-11	OZ235122.1	2024-06-11	Central African Republic	Sangha-Mbaere; NA	190439	Homo sapiens	PRJEB86106	SAMEA117750688	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235123.1|2024-08-01	OZ235123.1	2024-08-01	Central African Republic	Sangha-Mbaere; Bayanga	190446	Homo sapiens	PRJEB86106	SAMEA117750697	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235124.1|2024-07-24	OZ235124.1	2024-07-24	Central African Republic	Bangui; Bimbo	190438	Homo sapiens	PRJEB86106	SAMEA117750691	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235125.1|2024-07-24	OZ235125.1	2024-07-24	Central African Republic	Bangui; Bimbo	190429	Homo sapiens	PRJEB86106	SAMEA117750690	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235126.1|2024-08-01	OZ235126.1	2024-08-01	Central African Republic	Sangha-Mbaere; Bayanga	190466	Homo sapiens	PRJEB86106	SAMEA117750698	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235127.1|2024-08-03	OZ235127.1	2024-08-03	Central African Republic	Lobaye; Mbaiki	189509	Homo sapiens	PRJEB86106	SAMEA117750694	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235128.1|2024-08-01	OZ235128.1	2024-08-01	Central African Republic	Sangha-Mbaere; Bayanga	190465	Homo sapiens	PRJEB86106	SAMEA117750695	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235129.1|2024-07-25	OZ235129.1	2024-07-25	Central African Republic	Bangui; Bimbo	190412	Homo sapiens	PRJEB86106	SAMEA117750693	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235130.1|2024-07-24	OZ235130.1	2024-07-24	Central African Republic	Bangui; Bimbo	190466	Homo sapiens	PRJEB86106	SAMEA117750692	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235131.1|2024-07-06	OZ235131.1	2024-07-06	Central African Republic	Sangha-Mbaere; Bayanga	190449	Homo sapiens	PRJEB86106	SAMEA117750689	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235132.1|2024-08-01	OZ235132.1	2024-08-01	Central African Republic	Sangha-Mbaere; Bayanga	190446	Homo sapiens	PRJEB86106	SAMEA117750696	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235133.1|2024-09-12	OZ235133.1	2024-09-12	Central African Republic	Ouham-Fafa; Batangafo	190460	Homo sapiens	PRJEB86106	SAMEA117750706	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235134.1|2024-09-11	OZ235134.1	2024-09-11	Central African Republic	Mbomou; Ouango-Gambo	190398	Homo sapiens	PRJEB86106	SAMEA117750707	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235135.1|2024-08-05	OZ235135.1	2024-08-05	Central African Republic	Mbomou; Bangassou	190431	Homo sapiens	PRJEB86106	SAMEA117750699	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235136.1|2024-08-11	OZ235136.1	2024-08-11	Central African Republic	Lobaye; Mbaiki	189522	Homo sapiens	PRJEB86106	SAMEA117750700	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235137.1|2024-08-23	OZ235137.1	2024-08-23	Central African Republic	Lobaye; Mbaiki	190494	Homo sapiens	PRJEB86106	SAMEA117750702	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235138.1|2024-08-13	OZ235138.1	2024-08-13	Central African Republic	Basse-Kotto; Kembe-Satema	190470	Homo sapiens	PRJEB86106	SAMEA117750701	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235139.1|2024-08-24	OZ235139.1	2024-08-24	Central African Republic	Lobaye; Mbaiki	190472	Homo sapiens	PRJEB86106	SAMEA117750703	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235140.1|2024-09-09	OZ235140.1	2024-09-09	Central African Republic	Basse-Kotto; Kembe-Satema	190430	Homo sapiens	PRJEB86106	SAMEA117750705	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235141.1|2024-08-24	OZ235141.1	2024-08-24	Central African Republic	Lobaye; Mbaiki	190446	Homo sapiens	PRJEB86106	SAMEA117750704	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235142.1|2024-06-08	OZ235142.1	2024-06-08	Central African Republic	Mbomou; Bangassou	190465	Homo sapiens	PRJEB86106	SAMEA117750687	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235143.1|2024-02-26	OZ235143.1	2024-02-26	Central African Republic	Basse-Kotto; Kembe-Satema	190366	Homo sapiens	PRJEB86106	SAMEA117750682	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235144.1|2022-10-15	OZ235144.1	2022-10-15	Central African Republic	Sangha-Mbaere; Nola	190431	Homo sapiens	PRJEB86106	SAMEA117750712	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235145.1|2024-03-28	OZ235145.1	2024-03-28	Central African Republic	Ouaka; Bambari	190459	Homo sapiens	PRJEB86106	SAMEA117750686	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235146.1|2024-02-26	OZ235146.1	2024-02-26	Central African Republic	Basse-Kotto; Kembe-Satema	190405	Homo sapiens	PRJEB86106	SAMEA117750685	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235147.1|2024-02-26	OZ235147.1	2024-02-26	Central African Republic	Basse-Kotto; Kembe-Satema	190456	Homo sapiens	PRJEB86106	SAMEA117750683	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235148.1|2024-02-26	OZ235148.1	2024-02-26	Central African Republic	Basse-Kotto; Kembe-Satema	190361	Homo sapiens	PRJEB86106	SAMEA117750684	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235149.1|2022-10-12	OZ235149.1	2022-10-12	Central African Republic	Sangha-Mbaere; Bayanga	190420	Homo sapiens	PRJEB86106	SAMEA117750711	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235150.1|2022-02-15	OZ235150.1	2022-02-15	Central African Republic	Mbomou; Ouango-Gambo	190379	Homo sapiens	PRJEB86106	SAMEA117750710	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235151.1|2024-03-18	OZ235151.1	2024-03-18	Central African Republic	Ouaka; Grimari	190436	Homo sapiens	PRJEB86106	SAMEA117750681	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235152.1|2024-02-08	OZ235152.1	2024-02-08	Central African Republic	Basse-Kotto; Kembe-Satema	190444	Homo sapiens	PRJEB86106	SAMEA117750678	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235153.1|2024-03-18	OZ235153.1	2024-03-18	Central African Republic	Ouaka; Grimari	190522	Homo sapiens	PRJEB86106	SAMEA117750680	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235154.1|2024-02-09	OZ235154.1	2024-02-09	Central African Republic	Lobaye; Boda	190451	Homo sapiens	PRJEB86106	SAMEA117750677	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235155.1|2024-02-22	OZ235155.1	2024-02-22	Central African Republic	Haute-Kotto; Bria	189996	Homo sapiens	PRJEB86106	SAMEA117750679	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
genome_assembly__complete_genome__monopartite|OZ235156.1|2023-09-15	OZ235156.1	2023-09-15	Central African Republic	Lobaye; Mbaiki	190460	Homo sapiens	PRJEB86106	SAMEA117750674	genome assembly, complete genome: monopartite	Malaka,C., Patrono,L.V., Tombolomako,T.B., Farra,E., Garba-Ouangole,S., Sibiro-Demi,O., Loerke,J., Mbrenga,F., Singa Niatou,F.S., Rambaut,A., Lemey,P., Calvignac-Spencer,S., Nakoune,E., Somse,P., Leendertz,F., Boum,Y. II		
Monkeypox_PT0840_2025_genome_assembly__complete_genome__monopartite|OZ239953.1|2025-01-07	OZ239953.1	2025-01-07	Portugal		197223	Homo sapiens	PRJEB53055	SAMEA117788766	Monkeypox_PT0840_2025 genome assembly, complete genome: monopartite	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., de Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P., Duque,M.P., Martins,J.V., Vasconcelos,P., Nuncio,M.S., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G.	35750157, 36131032, 37696933	E.1.1
Monkeypox_PT0839_2025_genome_assembly__complete_genome__monopartite|OZ239954.1|2025-01-07	OZ239954.1	2025-01-07	Portugal		197220	Homo sapiens	PRJEB53055	SAMEA117788765	Monkeypox_PT0839_2025 genome assembly, complete genome: monopartite	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., de Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P., Duque,M.P., Martins,J.V., Vasconcelos,P., Nuncio,M.S., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G.	35750157, 36131032, 37696933	F.2.1
Monkeypox_PT0841_2025_genome_assembly__complete_genome__monopartite|OZ239955.1|2025-02-07	OZ239955.1	2025-02-07	Portugal		197223	Homo sapiens	PRJEB53055	SAMEA117788767	Monkeypox_PT0841_2025 genome assembly, complete genome: monopartite	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., de Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P., Duque,M.P., Martins,J.V., Vasconcelos,P., Nuncio,M.S., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G.	35750157, 36131032, 37696933	E.1.1
Monkeypox_PT0842_2025_genome_assembly__complete_genome__monopartite|OZ239956.1|2025-02-07	OZ239956.1	2025-02-07	Portugal		197223	Homo sapiens	PRJEB53055	SAMEA117788768	Monkeypox_PT0842_2025 genome assembly, complete genome: monopartite	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., de Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P., Duque,M.P., Martins,J.V., Vasconcelos,P., Nuncio,M.S., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G.	35750157, 36131032, 37696933	E.1.1
genome_assembly__complete_genome__monopartite|OZ244989.1|2024-11-21	OZ244989.1	2024-11-21	Canada	Manitoba	195459	Homo sapiens	PRJEB87374	SAMEA117844926	genome assembly, complete genome: monopartite	Audet,J., Soriano,K., Chan,M., Duggan,A., Hole,D., Eaton,K., Chato,C., Tyler,A., Strong,J.		
genome_assembly__complete_genome__monopartite|OZ245035.1|2025-01	OZ245035.1	2025-01	Canada		195413		PRJEB87374	SAMEA117844927	genome assembly, complete genome: monopartite	Audet,J., Soriano,K., Chan,M., Prevost,J., Strong,J.		
genome_assembly__complete_genome__monopartite|OZ245036.1|2024-11-21	OZ245036.1	2024-11-21	Canada	Manitoba	195458	Homo sapiens	PRJEB87374	SAMEA117844925	genome assembly, complete genome: monopartite	Audet,J., Soriano,K., Chan,M., Duggan,A., Hole,D., Eaton,K., Chato,C., Tyler,A., Strong,J.		
genome_assembly__complete_genome__monopartite|OZ245037.1|2024-11-21	OZ245037.1	2024-11-21	Canada	Manitoba	195459	Homo sapiens	PRJEB87374	SAMEA117844924	genome assembly, complete genome: monopartite	Audet,J., Soriano,K., Chan,M., Duggan,A., Hole,D., Eaton,K., Chato,C., Tyler,A., Strong,J.		
OZ246959.1|2025-01-13	OZ246959.1	2025-01-13	Slovakia		192382	Homo sapiens	PRJEB72255	SAMEA117930789		Sladecek,T.		F.1
